file,delta,error_type,direction
full_active.csv,0.0,exact,none
full_active.csv,-1.0,minor,under
full_active.csv,-1.0,minor,under
full_active.csv,0.0,exact,none
full_active.csv,0.0,exact,none
full_active.csv,-1.0,minor,under
full_active.csv,-1.0,minor,under
full_active.csv,0.0,exact,none
full_active.csv,-1.0,minor,under
full_active.csv,-1.0,minor,under
full_active.csv,-1.0,minor,under
full_active.csv,0.0,exact,none
full_active.csv,0.0,exact,none
full_active.csv,0.0,exact,none
full_active.csv,0.0,exact,none
full_active.csv,0.0,exact,none
full_active.csv,1.0,minor,over
full_active.csv,-1.0,minor,under
full_active.csv,-1.0,minor,under
full_active.csv,-1.0,minor,under
full_active.csv,-1.0,minor,under
full_active.csv,1.0,minor,over
full_active.csv,-1.0,minor,under
full_active.csv,0.0,exact,none
full_active.csv,-1.0,minor,under
full_active.csv,-1.0,minor,under
full_active.csv,-2.0,severe,under
full_active.csv,0.0,exact,none
full_active.csv,-1.0,minor,under
full_active.csv,-1.0,minor,under
full_active.csv,0.0,exact,none
full_active.csv,0.0,exact,none
full_active.csv,0.0,exact,none
full_active.csv,-1.0,minor,under
full_active.csv,0.0,exact,none
full_active.csv,-1.0,minor,under
full_active.csv,-1.0,minor,under
full_active.csv,-1.0,minor,under
full_active.csv,0.0,exact,none
full_active.csv,-1.0,minor,under
full_active.csv,-1.0,minor,under
full_active.csv,-1.0,minor,under
full_active.csv,-1.0,minor,under
full_active.csv,-1.0,minor,under
full_active.csv,-1.0,minor,under
full_active.csv,-1.0,minor,under
full_active.csv,-1.0,minor,under
full_active.csv,-1.0,minor,under
full_active.csv,-1.0,minor,under
full_active.csv,-1.0,minor,under
full_active.csv,0.0,exact,none
full_active.csv,-1.0,minor,under
full_active.csv,-1.0,minor,under
full_active.csv,-1.0,minor,under
full_active.csv,-1.0,minor,under
full_active.csv,0.0,exact,none
full_active.csv,0.0,exact,none
full_active.csv,0.0,exact,none
full_active.csv,0.0,exact,none
full_active.csv,-1.0,minor,under
full_active.csv,-1.0,minor,under
full_active.csv,0.0,exact,none
full_active.csv,-1.0,minor,under
full_active.csv,-1.0,minor,under
full_active.csv,-1.0,minor,under
full_active.csv,-1.0,minor,under
full_active.csv,-1.0,minor,under
full_active.csv,-1.0,minor,under
full_active.csv,-2.0,severe,under
full_active.csv,-1.0,minor,under
full_active.csv,-2.0,severe,under
full_active.csv,-1.0,minor,under
full_active.csv,-1.0,minor,under
full_active.csv,-1.0,minor,under
full_active.csv,0.0,exact,none
full_active.csv,-1.0,minor,under
full_active.csv,0.0,exact,none
full_active.csv,-1.0,minor,under
full_active.csv,-1.0,minor,under
full_active.csv,0.0,exact,none
full_active.csv,0.0,exact,none
full_active.csv,0.0,exact,none
full_active.csv,0.0,exact,none
full_active.csv,-1.0,minor,under
full_active.csv,-1.0,minor,under
full_active.csv,0.0,exact,none
full_active.csv,0.0,exact,none
full_active.csv,0.0,exact,none
full_active.csv,-1.0,minor,under
full_active.csv,1.0,minor,over
full_active.csv,-1.0,minor,under
full_active.csv,-1.0,minor,under
full_active.csv,-1.0,minor,under
full_active.csv,0.0,exact,none
full_active.csv,0.0,exact,none
full_active.csv,-1.0,minor,under
full_active.csv,-1.0,minor,under
full_active.csv,1.0,minor,over
full_active.csv,0.0,exact,none
full_active.csv,0.0,exact,none
full_active.csv,-1.0,minor,under
full_active.csv,-1.0,minor,under
full_active.csv,-1.0,minor,under
full_active.csv,-1.0,minor,under
full_active.csv,-1.0,minor,under
full_active.csv,0.0,exact,none
full_active.csv,0.0,exact,none
full_active.csv,-1.0,minor,under
full_active.csv,0.0,exact,none
full_active.csv,-1.0,minor,under
full_active.csv,-1.0,minor,under
full_active.csv,-1.0,minor,under
full_active.csv,-1.0,minor,under
full_active.csv,0.0,exact,none
full_active.csv,-1.0,minor,under
