paper_name,Gramatika i pravopis,Strane reči,Skraćenice,Argumentacija,Konciznost rečenice,Jasnoća rečenica,Aktiv i pasiv,Početak rečenice,Sadržaj rečenice,Korišćenje vremena,Zarezi,Interpunkcija,Konciznost paragrafa,Organizacija paragrafa,Konzistentnost,Repetitivnost,Bespotrebni detalji,Odnos teksta i teme rada,Nekonciznost,Korišćenje ličnih zamenica,Širi problem,Osnovni koncepti,Značaj rešenja,Pozicioniranje užeg problema u širem kontekstu,Opis fokusa rada,Opis koristi rešenja,Opis problema domena,Zahtevi,Opis drugačijih rešenja,Argumentacija odabranog rešenja,Opis koncepata rešenja,Definisani koncepti,Višak koncepata,Opis rešenja koncepata,Opis rešenja na opštijem nivou,Inicijalno predstavljanje strukture sistema,Opis svake celine strukture rešenja,Preciznost,Visok nivo apstrakcije,Teorijske osnove,Problem,Konciznost,Dovoljno detalja,Vreme pisanja,Struktura opisa rezultata,Diskusija o rezultatima,Finalni paragraf
AUTOMATSKA_DETEKCIJA_SPAMA_U_EMAIL_KOMUNIKACIJI_PRIMENOM_VEŠTAČKE_INTELIGENCIJE_SV_75_2021_SV_79_2021.pdf,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,0,0,2,2,2,1,2,2,2,1,2,2,0,2,1,2,2,2,1
AUTOMATSKA_KLASIFIKACIJA_FILMSKIH_ZANROVA_NA_OSNOVU_SINOPSISA__SV_5_2021__SV_4_2021.pdf,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,1
Alat_za_upravljanje_zahtevima_i_testovima_SV_24_2021.pdf,2,0,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,1,0,1,2,2,2,1,2,2,2,2,2,2,0,2,1,2,2,1,1
Analiza_preživljavanja_na_Titaniku_Primena_klasifikacionih_algoritama__SV6_2021.pdf,2,1,1,1,1,2,1,2,2,2,2,2,1,1,1,1,1,2,1,2,2,1,1,2,2,2,2,2,1,1,1,1,2,1,2,2,1,1,1,2,0,2,1,2,2,1,1
AplikacijaZaPružanjeUslugaPrevoza_sv482020_sv332020.pdf,2,0,1,1,1,2,1,2,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,1,1,2,1,1,2,2,2,2,2,2,0,2,2,2,2,2,0
Arborista_SV82-2022__v8.pdf,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,2,2,0,1,2,2,2,1,2,2,2,2,2,2,0,2,2,2,2,1,0
AudioTranslator_SV42_2020_SV61_2020.pdf,1,0,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,2,1,2,2,2,2,2,2,1,1,0,1,0,1,1,2,1,2,2,2,1,2,2,0,2,1,2,2,2,1
BRIEFCINEMA_SERVIS_ZA_STRIMOVANJE_VIDEO_SADRZAJA__SV_29_2021.pdf,2,0,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,1,1
BudgetWise_web_aplikacija_za_upravljanje_ličnim_budžetom_SV30-2021_SV63-2021 (1).pdf,2,0,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,1,2,2,1,2,2,1,2,2,2,1,1,2,2,1,2,1,2,2,2,2,0,2,2,2,2,2,0
Centralizovan_sistem_asistencije_vozaču_zasnovan_na_znanju_SV_44_2021_SV_13_2021.pdf,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,1,0
CoursewareAlat_SV812021.pdf,1,0,1,1,1,1,1,2,2,1,1,2,1,1,0,1,1,2,1,2,1,1,1,1,1,2,1,2,2,1,1,1,2,1,2,2,1,1,2,2,0,2,1,2,2,1,0
DETEKCIJA_LAZNIH_VESTI_U_SAVREMENIM_IZVORIMA_INFORMISANJA__SV_11_2021__SV_59_2021.pdf,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,0,2,1,2,2,2,1
DetekcijaMaske_SV16-2020.pdf,1,0,1,1,1,1,1,2,2,1,1,2,1,1,0,1,1,2,1,2,1,1,1,1,2,2,1,0,1,1,1,1,2,1,2,2,1,1,2,2,0,2,1,2,2,2,1
DetekcijaPravilnogIzvodjenjaVezbi_SV5-2020_SV50-2020.pdf,2,0,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,2,1,0,2,2,1,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,0,2,1,1,2,2,0
DetekcijaSlepila_SV672020.pdf,1,0,1,2,1,2,1,2,2,2,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,0,2,2,2,2,2,0
Dijagnostika_bolesti_kod_novorođenčadi_zasnovana_na_sistemu_baziranom_na_znanju_SV_45_2021_SV_69_2021 (1).pdf,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,0,0,2,2,2,1,2,2,2,2,2,2,0,2,2,2,2,1,0
