paper_name,Gramatika i pravopis,Strane reči,Skraćenice,Argumentacija,Konciznost rečenice,Jasnoća rečenica,Aktiv i pasiv,Početak rečenice,Sadržaj rečenice,Korišćenje vremena,Zarezi,Interpunkcija,Konciznost paragrafa,Organizacija paragrafa,Konzistentnost,Repetitivnost,Bespotrebni detalji,Odnos teksta i teme rada,Nekonciznost,Korišćenje ličnih zamenica,Širi problem,Osnovni koncepti,Značaj rešenja,Pozicioniranje užeg problema u širem kontekstu,Opis fokusa rada,Opis koristi rešenja,Opis problema domena,Zahtevi,Opis drugačijih rešenja,Argumentacija odabranog rešenja,Opis koncepata rešenja,Definisani koncepti,Višak koncepata,Opis rešenja koncepata,Opis rešenja na opštijem nivou,Inicijalno predstavljanje strukture sistema,Opis svake celine strukture rešenja,Preciznost,Visok nivo apstrakcije,Teorijske osnove,Problem,Konciznost,Dovoljno detalja,Vreme pisanja,Struktura opisa rezultata,Diskusija o rezultatima,Finalni paragraf
Rad_6,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,1,1,0,0,0,2,2,2,0,2,2,2,2,2,2,0,2,1,2,2,2,1
Rad_7,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,0,0,2,2,2,0,2,2,2,2,1,2,0,2,2,2,2,2,1
Rad_1,2,0,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,1,2,2,1,1,1,0,0,1,2,2,2,1,2,2,2,2,2,2,0,2,1,2,2,1,1
Rad_2,2,1,1,1,1,2,1,2,2,2,2,2,2,1,1,1,1,2,1,2,2,1,2,2,2,2,2,2,1,1,2,1,2,1,2,2,2,2,1,2,0,2,1,2,2,2,2
Rad_3,2,0,1,1,1,2,1,2,2,2,2,2,2,1,2,2,1,2,2,1,2,1,2,2,1,2,0,2,1,1,2,2,2,0,1,2,2,2,1,2,0,2,2,2,2,2,0
Rad_4,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,2,1,1,1,2,1,1,2,2,0,1,2,2,2,1,2,2,2,2,1,2,0,2,2,2,2,1,0
Rad_5,1,0,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,2,1,2,0,0,0,0,0,0,1,0,0,0,2,2,2,0,2,2,2,2,1,2,0,2,1,2,2,1,1
Rad_8,2,0,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,1,1,0,2,2,2,2,2,0,2,2,2,2,1,2,0,2,2,2,2,2,1
Rad_9,2,0,1,2,1,2,1,2,2,2,2,2,2,1,1,1,2,2,1,1,2,2,1,2,2,1,1,0,1,1,1,1,2,0,1,0,1,2,1,2,0,2,2,2,2,2,0
Rad_10,1,1,1,1,2,2,2,1,2,2,1,2,2,1,1,1,2,2,2,2,2,1,2,2,1,1,0,0,1,2,1,1,2,0,0,1,2,2,1,2,0,2,2,2,2,1,0
